zona,duracion_ms,timestamp
OTRO,600.7,23:04:39
OTRO,145.4,23:04:39
OTRO,147.4,23:04:39
OJOS,517.6,23:04:39
OTRO,28181.2,23:05:08
OJOS,116.7,23:05:08
OJOS,332.5,23:05:08
OJOS,103.2,23:05:09
OJOS,164.9,23:05:09
OJOS,1385.3,23:05:10
OTRO,148.2,23:05:10
OJOS,2766.6,23:05:13
OJOS,325.0,23:05:14
OJOS,369.8,23:05:14
OJOS,305.5,23:05:14
OTRO,362.4,23:05:15
OJOS,580.2,23:05:16
OJOS,166.2,23:05:16
OJOS,923.3,23:05:17
OJOS,2192.6,23:05:19
BOCA,157.3,23:05:19
OTRO,317.4,23:05:20
OJOS,183.6,23:05:20
OTRO,857.6,23:05:21
OTRO,1500.0,23:05:22
